"review_text","label"
"Follow-up to my previous comments - just to let you know came back from Bali last Thursday evening after 10 days unscathed except for damn mozzie bites from being at the Villa - take your Aeroguard or similar. If you want to feel safe on the plane and airport then get your family the right masks but it's the hand sanitising which is more important (as it should be anyway). I was the only one that I saw wear one on way up in plane and didn't worry on way home - not many people even in streets etc wearing them there. Read up on the Virus symptoms and how to catch it. I read it was only 4-5 hours window and mainly from surfaces and then you touch your facial orefaces and bam you MAY get it, so just watch the public things. I only saw one young woman in Matahari with a head cold and she is the one who should have had a mask on. Only person on my home plane trip who had a mask on was an elderly lady and me being 67 not much older than myself. The local are feeling the pinch from people cancelling and are struggling again. The Hotel where I stayed initially - The Green Garden - said it was quieter than usual and same with drivers and taxis I used while there. So go and spend lots of money as their economy needs it too. I also heard Singapore is very quiet on the streets too so all this drama is having an effect everywhere. Enjoy your time with family and if you feeling uncomfortable around someone coughing and spluttering (which may only be a cold) just do normal cautions.","1"
"PS sorry - stayed in a Villa in Jimbaran Village area and wasn't really in a lot of Public places often like general shopping malls etc so your isolation there may be okay. Just buy some Glen 20 or similar when you get there and wipe things down that bubs may touch or lick just as a precaution.","0"
"I’m here at the moment with 2 kids. There were a few people at the airport wearing masks, but that’s it. I have no concerns about Coronavirus over here. I’d be more worried about the transit through Thailand - I’d wear a mask there. We brought P2 masks over with us (we needed them at home with the bushfires) but haven’t felt the need to wear them in Bali.","1"
"Its safe you can visit Bali without any tension.but better to carry mask you never know anything can happen as many Chinese tourist travelling Bali and other Asian countries.","0"
"I agree with Dipen N. So far no announcements have been made about coronavirus cases in Indonesia, but probably it is a just a matter of time. It's starting to spread globally now and Indonesia is one of the only countries in Asia not to have announced any cases despite there being a lot of contact with China and lots of Chinese visitors. Unfortunately it seems many people are more concerned about being quarantined than about having the virus. Anyway, it sounds fine to visit Bali for now, just bring good quality face masks just in case (they will sell out almost immediately if any case is confirmed) and bring plenty of hand sanitizer.","1"
"The one thing to be aware of is does your travel insurance cover you? Otherwise go for it!","1"
"One thing to be aware of is that most travel insurances exclude pandemics from coverage so if WHO does declare Covid-19 a pandemic, it will not cover any coronavirus-related expenses.","0"
"I checked with our insurance company, Insure & Go, this morning for our trip later in May. They advised that we’ll be covered if the Australian Government issues a Do Not Travel advisory. Otherwise, there’s no other cover. Fingers crossed that it doesn’t come to that and this somehow settles down. Cheers","1"
"I am travelling to Bali in May and my travel insurance provider has issued a blanket ""No"" any pandemic/epidemic. Can you please confirm that your insurance provider will only cover you if the Australian government issues a ""Not Safe To Travel "" warning. I thought that warning would have negated any form of travel insurance.","1"
"Singapore Airlines have cancelled some of their flights to and from the USA, however l got an email from them yesterday telling me of their huge infrastructure that they have put in place to keep passengers safe, pleased to see they are scrubbing down all aircraft beforehand, keeping passengers in safe areas in transit and everyone gets screened on arrival in Singapore. Luckily SA doesn’t have a single case of the virus and people are going on holiday as normal, hope someone doesn’t come back with the virus.","0"
"Bali is safe, at least is for China Tourists who will stay longer in Bali, Indonesia. For the second time Indonesian Government has given Special Visa to almost 1,000 China Tourists who will extent to stay longer in Indonesia for the next 30 days. One month ago more than 1,200 China Tourists apply for Special Visa and all has been given. Previously there are a plane want to pickup China Tourists from Bali. But only about 80 persons do it. The plane is very empty, because the capacity of the plane is about 300 passengers.","1"
"You know that Bali is at risk as much as anyhere else in the world. What we all need to weigh up is mass infection, and the capability of a country's infrastructure to cope with this.","0"
"Singapore Airlines, as great as they are, cannot control the virus or it's spread. It's no secret that Asian based airlines have had many cancellations, so all are doing their best to try to reasure existing passengers while simultaneously attempting to minimise substantial financial losses. If you want an example of what it really takes to disinfect a large aircraft, have a look at what Qantas did recently after they collected Aussies from China. Compare the two and then rethink just how effective SIA's measures will actually be. Cheers","1"
"l can only hope for the best and lm happy at least they are doing something.","1"
"From the Financial Times this morning: Headline - ""Bali doctor: if there is a coronavirus patient, I'll be infected"" Medical workers have warned that the Indonesian holiday island of Bali is severely underprepared to deal with the deadly coronavirus, threatening its 4m inhabitants and a tourist industry worth billions of dollars each year. Interviews with staff at the three Bali hospitals earmarked to treat victims of a virus that has infected more than 80,000 people around the world point to a lack of equipment, staff and infrastructure required to deal with an outbreak. “I’m not convinced,” Ni Ketut Pande Sri Widnyani, senior doctor at Sanjiwani Gianyar hospital, one of the facilities, said of Bali’s ability to handle such a crisis. “Right now we’re not up to the required standard,” she said of the hospital. “There’s a lack of facilities and I pray we won’t be infected.” Indonesia, the world’s fourth-most populous country, has yet to report a single confirmed case of the coronavirus despite its strong economic ties with the rest of Asia and especially China where the illness originated. Given that the virus has quickly spread to almost 40 countries, international experts question whether this is credible. “The fact that Indonesia has not reported any cases is highly unusual,” said Ian Mackay, a virologist at Queensland University in Australia, noting that Bali was a top destinations for travellers from Wuhan, the city at the centre of the outbreak. “In a major destination for visitors from China we would expect to see infected patients.” Bali is considered particularly exposed to a virus outbreak because of its popularity with mainland Chinese who accounted for 1.2m of its more than 6m international visitors last year. After China declared the outbreak in January some of these tourists extended their stay in Bali rather than going home. A large number of Indonesians also work in China, often as domestic helpers...","1"
"Hi guys! My fam (husband and 1 and 3 year old) are due to go to Bali with a Luxury Escapes deal on the 14th March. I called luxury escapes, long hold time, and was advised it’s at the hotel’s discretion if they allow us to change dates as we are inside of the 45 day allowable period. Luxury Escapes contacted our hotel, cc’ing me, and the hotel have said that while Bali is safe, they will allow me to rebook up until Dec this year. Tail watching and waiting, but I think I’ll change our dates to go later in the year.","1"
"Thanks froweoverseas, we’re still waiting to hear back from Luxury Escapes re our May holiday. It’s good to hear there may be some flexibility re current bookings. Cheers","1"
"Hi just wanted to maybe offer some advice I'm only flying in September to bali but have been keeping a careful eye on the spread of the Corona virus I found the best up to date truthful unbiased report is on the w.h.o website And it gives all the stats confirmed cases etc...maybe this will help you.","1"
"Hi, The president said today that they have two confirmed cases of corona in Indonesians who were in contact with the Japanese tourists who came to indonesia with the virus. There may be more cases but it’s not clear from the statement how extensive the tracing of contacts is. Cheers","1"
"As of this morning we have decided to cancel our visit to Bali. Sadly the villa company “Asia Holiday Retreats” has said that they cannot refund our money or allow us credit to use this in the future, which is sad. I know the hospitality business has been hit bad but to hold you ransom when the world is on the brink of a global pandemic is just silly.","0"
"Best to check the w.h.o website for all up to date information.","1"
"No intention of canceling my Bali trip and don't quite understand peoples 'panic' (probably because they are the first 3 and last 2 letters of 'pandemic'). Pandemic means widespread. Does not mean epidemic. I am more worried about the Italians at work who travel back and forth to Italy every weekend. If it was prevalent in Bali despite the 'iffy' Indonesian reporting of cases I'm pretty sure given the number of Ozzies traveling to Bali every week if some had brought it back to Oz we'd know about it pretty quickly.","1"
"I am travelling to Bali in June and from what I read on the net, the Virus might well be around after the flu season is over. I have non refundable Air Tickets pre booked with Singapore Airlines. So I think I am going to go and tell myself that it is as likely to infect me in India as in Bali. 2 cases reported today in Indonesia and 2 cases in India as well. Please tell me, friends, that I am taking the right call :)","1"
"Yes, it's probably as likely that you will fall ill in India. It's an issue of the lesser of two weevils, I think.","0"
"Your post was so refreshing as it is what I have been mentioning to your fellow countrymen all along. I most sincerely hope that you have a great time and very much enjoy your holiday.","1"
"I've been travelling Asia since Dec 8. I've been asked so many times if people should cancel their trips. I made a little 9 minute vlog about what I've seen and my thoughts on going vs cancelling. If you have a few min... Take a look. Hope it helps. In Bali now (for almost 2 weeks) ... I realllllly wouldn't worry about it. No one os wearing masks. Not a single person has so much as sneezed around me. Wash hands often. Try not to touch your face and you'll be fine.","0"
"Thank you. We have a spring break trip leaving SFO and flying via Taipei to Bali at end of month. Hoping we don't have to cancel - mainly concerned about quarantines when returning back to California.","1"
"Hi Vishal, just wanna ask you that you are still planning to go as I have also planned to Bali on 11 mar and confused whether its safe or not.","1"
"Are you aware that cases of people with this virus have been recorded in India? If so, why would you think that Bali would be less safe than your own country?","1"
"India now has over 28 confirmed cases of the virus. Bali lists only 2...Its not about Bali being safer than India - its just that when you travel, you tend to go out more - visit public places - eat out at busy areas and come in contact with far more people than you would on your average day being in your home country. The bigger worry is to go through air ports and such because of the number of people that go through them everyday. If it were not for travel, the virus would have not spread outside of Wuhan in the first place. Just my two bits.","1"
"I have gone ahead and cancelled my trip, I know many that are still going ahead with their travel plans, so I guess its to each his own...I just felt it was not worth the risk, especially as I had my parents and children on this trip with me.","0"
"I didn't know that Bali had any confirmed cases. I know there are two confirmed cases in Jakarta which is nearly 1200 km away. However, it seems that Indonesians are becoming more concerned and getting worried. Vishal, each to his own, and with young kids and myself not so young anymore I would probably do as you have done.","1"
"Funny as from current reports young kids aren't at risk. Kids under 10 don't seem to be susceptible (quite how a virus knows your age at that age I don't know). Kids More likely to just be carriers than suffer anything of the affects. Basically the older you are the riskier it is.","0"
"It's definitely to each his own. No one should be judging anyone if they decide to postpone their plans. What we know so far is that this is hitting the body harder than the regular flu. Also, the mortality rate is higher than the regular flu. It's rubbish to say that if you aren't scared of the flu, you shouldn't be scared of COVID-19... On the flipside, there shouldn't be sheer panic. Yes, I did see initial reports that say it seems that kids are less susceptible for getting sick. Again, scientists and health officials are still learning about this. It doesn't mean that kids are less likely to carry the virus. Hell, it could even be the opposite. Kids can still carry and spread. Some kids aren't showing symptoms even though the have the COVID-19. I decided to include news articles from credible sources when I post facts, so people can read the articles for themselves. I like to do what I can as to not spread innuendos and misinformation.","1"
"Hi i have also planned to visit bali on march 11 so did you decide ? Whether you are going or not ?","1"
"Ignorance is bliss.....if anyone thinks Bali is coronavirus free you need to rethink your life. It will be a mess once the truth is out. For the person who said you could get it at home!!!!! Well at home better health care. Bali increases 55% of complications due to very poor health system.","1"
"I'm leaving Bali on the 10th...it's perfectly safe in my opinion.. I've seen like 8 people wearing masks.. I personally wouldn't postpone","1"
"Most sees are mild (81%) you have a higher chance dying from the flu. It's fear and hype.. Trust me, been in asia since December.. You dont get to see how normal most countries are here... I completely understand the fear and concern, so of course you need to do what's right for you and your loved ones.. But honestly i see how things are here.. No need to be afraid","1"
"Mickey, there's a higher chance of dying from the flu simply because more people have had the seasonal flu vs the COVID-19. COVID-19 is very new and still unfolding. COVID-19 actually has a higher death rate than the seasonal flu. You can look at my previous posts for my sources or Google that information on any credible news source. So what you have repeated isn't an accurate statistic. I'm not trying to get into a debate, but I just had to clarify that","0"
"NotaPigsty: you wrote “Pandemic means widespread. Does not mean epidemic”. That is incorrect. The WHO has this definition: A pandemic is defined as “an epidemic occurring worldwide, or over a very wide area, crossing international boundaries and usually affecting a large number of people”.","1"
"Fair enough. I based it on a few different articles I read. I agree theres a lot of info and at the same time lack there of. Not to mention the misinformation. It's hard to know whats right, even from solid government sources which then is the corrected/update. No debate here. Gotta do what's right for you. My perspective, it's more of a threat to elderly people and those with underlying issues. I know fewr sells subscriptions.. Good news, not so much so people are jumping on the fear wagon. That's my opinion. I very much respect yours and hope you and your loved ones stay healthy and well :)","1"
"I doubt that there are zero corona virus cases in Bali. It may be true that there are zero DETECTED cases in Bali since the majority of COVID-19 infections are harmless and remain undetected. The fatality rate of around 2% only applies to the (largely elderly vulnerable) people who are already showing symptoms and sometimes suffering from serious complications such as pneumonia. But this is almost certainly only a small minority of the actual number of infections. The danger of COVID-19 seems similar to seasonal flu. The real danger is the mass hysteria which is promoted by irresponsible media and government officials who are worried about being seen as indecisive!","0"
"This article’s headline is self-explanatory on the numbers in Indonesia as a whole, so not Bali-centric.
Ultimately, make your assessment and judgment based on your own risk appetite.","1"
"a woman from Jakarta was diagnosed in Melbourne. Seems very likely she contracted it in Indonesia. Jakarta and Bali are miles away from each other and certainly parts of Australia have many cases themselves. I do feel though that once you start exporting cases it becomes a lot more difficult to claim you only have four cases nationwide with any credibility.","1"
"There was one case reported yesterday in Singapore of an Indonesia woman coming in already infected. Indonesia is doing a good job in hiding facts and not preventing the spread of Covid-19. You definitely deserve a medal from the Indonesian govt.","0"
"how on earth is a government going to hide the spread of a virus with people coming in and going back to their own countries? The virus is either there or it isn’t, it’s not exactly something a government can hide.","1"
"Soulwax, I agree that is fairly evident that Indonesia absolutely does not have widespread coronavirus in the thousands like Italy, Korea and Iran. But there is a fairly big range between 6000 and 4. Indonesia does indeed appear to have been lucky thus far (considering their lax testing and contact tracing) and I sincerely hope their luck continues, but as you say - time will tell.","1"
"I got no idea how to rationalise that with a grand total of 4 reported cases, Singapore already had one imported case from Indonesia?","1"
"sing6363 there are no reports in the Straits Times or elsewhere on searches to support your claims. What is the source for your statement.","1"
"Hi friends i have booked bali trip from 16th April 2020. Do u people think is there any chances THAT WE HAVE TO CANCEL OUR TRIP. Plz reply your estimations & probability.","1"
"Singapore has just announced a second import case of Covid-19 from Indonesia. See Case No 147 in attachment and case 148 would also be of interest. As at today, Indonesia has 6 reported cases. How on earth can Singapore have 2 Indonesian import cases when Indonesia supposedly has only 6 in a country with a population of 200+ million.? My guess is there should be at least 10,000 cases in Indonesia for 2 of them to have been imported in Singapore.","1"
"Smartraveller have just posted that Coronavirus in Indonesia and that Bali medical facilities will not have infrastructure to cope Also no testing in Bali Travel advice not increased but does advise about lack of medical care to manage","1"
"So many gullible posts here. I would bet London to a brick there are hundreds of cases in Indonesia and Bali with the amount of Chinese travellers they had in Dec, Jan and part of Feb. Being in denial will eventually come back and bite. When someone catches the disease they wont know because they can't test for it properly. When someone dies, they will call it swine flu or something else - anything but coronavirus. It's all about the $$$ folks. Just as I don't for one second believe cases are slowing in China - absolute nonsense. They tell you what they want you to know - doesn't mean you need to believe it!","0"
"If it is rife in Bali why isn’t there plane loads of Australians coming down with it","1"
"Maybe not so rife in Bali as compared to other cities in Indonesia. But it is a matter of time before plane loads of aussies return back with the virus., as long as Indonesia refuses to acknowledge the spread.","1"
"In Indonesia there are more many cases of Dengeu Fever than Covid-19. Because mosquito can fly a hundred meter and no need close contact among the victims. Covid-19 usually needs close contact among/between the victims.","1"
"Amit. There is no way that anyone who are travellers just like you, would be able to answer your question. I understand that you don’t want to make your own decision and would prefer that others make that for you, however in this situation, you will have to decide for yourself as difficult as that would be.","1"
"Further to Travelkat’s advice, Amit, you firstly need to consider whether anyone in your travel party has any health issues that may place them at risk should they contract this virus. Seek advice from your medical practitioner, read your government’s travel advisories and check the advice from the World Health Organisation. Cheers","1"
"There are at least 11 suspects of Covid-19 in Bali, but all are Negative. Jakarta has more suspects of Covid-19 and nowadays there are 6 positive Covid-19 patients. When there are initial 2 positive Covid-19 patients, there are panic situation, but nowadays not anymore, however some of them, not much use masker. Myself not use anything, because I have no close contact with any Covid-19 patient.","1"
"Regarding the cases you quote in your post 83, namely - Sing. Govt. case 147 and 148. You have used the intro of ""Singapore has just announced a second import case of Covid-19 from Indonesia. ""Case 148 is linked to a cluster of infections that occurred at a private dinner function at SAFRA Jurong in Singapore. Actually I believe it is the largest and most well known Singapore cluster Case 147 is an Indonesian national who arrived in Singapore yesterday, 7th Feb, and tested positive today, 8th of February. There is no mention of which country he arrived ""from"". As for being the second ""import case"" - that can only be referring to the already discredited story you posted last week about people from another small enterprise cluster of infections in Singapore who took the ferry to Batam island and tested positive some days later. Their prior links to numerous infections at ""Wiizlearn"", their place of work in Singapore, are highlighted in the government records.","1"
"Can anyone here comment on access to testing in Bali? And how much it costs?CI read from a minister or head of health authority announcement that the quick test is available in Bali but for the more sensitive test, samples need to be sent to Jakarta.CI've been advised by other countries through their consulates that I should carry test results with me when I leave Bali so I won't be denied entry.","1"
"There are many suspects of Covid-19 in Bali, all are foreign tourists, but all are Negative.Jakarta has more suspects of Covid-19 and nowadays there are 6 positive Covid-19 patients. there are 3 steps, first step is patient in monitoring, there are hundreds of it and second is patient in supervision, there are only 10 patients of it, third step is positive Covid-19 patients and must stay in isolation room until 2 times negative test.","0"
"With all due respect, the corrupt WHO would be among the last group I listen to re coronavirus. Remember, they were dead against any country stopping flights from China and they still refuse to label COVID-19 a pandemic despite the virus being present in 109 countries and rising. Cheers","0"
"I would definately agree that the credibility of the WHO needs to be seriously questioned. They are obviously serving the needs of corporate multi nationals and corrupt NGO's.","1"
"Interesting... it’s amazing that people could compromise human life over money, shocking.","1"
"Okay, ignore advisories from WHO but ensure you seek appropriate government and medical advice.","1"
"Totally agree my fellow Perthians. WHO are a bunch of YES men. Bowing and scraping and back slapping the leaders of the nation where this all started. Work that one out!!","0"
"Nowadays there are 19 positive Covid-19 patients in Indonesia, include 2 foreigners, but the release not mention the citizenship. It is increasing a lot from 6 positive Covid-19 patients. And there are 21 persons as Covid-19 suspect. In China, new cases are declining and who get well are more than in isolation. So, Disney in China is already opened, after several days are closed due to Covid-19.","1"
"We are travelling to Bali on 13th from Australia and everything is booked and paid for. Our insurance does not cover us for Coronavirus. Can anyone please give us the true picture of Corv19 in Bali? We have been told that the hospital system can not cope with an epidemic and that the Governor allowed Viking Star cruises to disembark passengers to fly home to Australia or take tours on the weekend. Apparently, all passengers and crew had temperature tests done before they left the ship and the authorities took all precautions but we are still wondering whether to travel.","1"
"SG - that’s pretty concerning. Looks like Indonesia’s luck might have run out.","1"
"Were the 19 cases in Bali or elsewhere?","1"
"I think these temperature tests give a false sense of security","1"
"The latest import case to Singapore is a rich Indonesian who was already diagnosed of the virus in Jakarta, but decided to hire a PRIVATE plane (to avoid the stricter checks at airports) to get treated in Singapore, which is well known for its high quality healthcare with zero deaths so far, despite having 150+ cases of Covid-19. Only 0.001% of the Indonesian population can afford to hire private plane. And if someone from this 0.001% segment can get infected with Covid-19, even a 10 year old should be able to figure out the extent of the spread of Covid-19 in Indonesia. It should easily exceed 10000 cases,","1"
"How is Bali doing? Still busy?","1"
"105 Chrissie, I am flying to Bali on Saturday. I have been weighing things up almost hourly and if before then I really feel I am at greater risk than here at home, I just won't get on the plane. But right now I feel comfortable continuing with my travel plans. There are posters who flood these threads with conflicting news, most just googled and claim they are all facts. They are not all fact. A WA tourism official has said Australian's should not go to Bali because the money could be better spent in WA. He did not say don't go to Bali because it's dangerous. Don't ask others what they would do, just do what makes you feel ok,","1"
"I think possibly the concern is more for the flight than being in the actual country.","0"
"Baileyburn can you give a link that BIMC give free treatment for the patients. I heard by myself from the Health Minister that all Covid-19 are free, because all hospitals in Indonesia which more than 100 and can handle Covid-19 are Government Hospitrals.","0"
"I know that the testing for Covid-19 is free at government hospitals in Indonesia as long as you have a letter from a doctor, but not sure if that letter can be from any doctor or specifically from a doctor at the government hospital.The government call centre hotline is 112 to get information about Corona virus, and 119 if you feel you may have it or know someone who may have it. But I have no idea if they speak English.","1"
"Diseases caused by COVID-19 are not covered by BPJS Health but directly by the State. This is because BPJS Health's funding sources come from temporary participant contributions because COVID-19 is included in an outbreak, the funding must be directly from the State with funding from the Ministry of Health, Regional Government, or other funding sources deemed valid by law regulations. I think SurfingWild’s advice in post #124 is certainly helpful.","0"
"Just want to share a link , mealtime update about COVID 19 all are the world Indonesia has 27 case of COVID19 Stay healthy keep clean , guys Cheers","1"
"Additional 8 cases are 3 from domestic infections and 5 are imported cases means when they entered Indonesia there are great possibility that the patients are in the incubation period.","0"
"I'm going to Bali in a couple of weeks with my family. Much safer there, than here in Europe. It seems that the Indonesian authorities are taking this more seriously than here, with screenings and sanitizing the Denpassar Airport etc. Of course they have to, since they are so dependent of tourists visiting. Here in the more developed part of the world (northern Europe) we still see people arriving from northern Italy (Corona epicenter in Europe) without being screened or anything. Upon arriving in the airport they are free to roam and can head straight into the airport subway for example.","1"
"I really don’t understand the extreme panic, travel as normal, we always wear face masks in the airport and on the plane, and use disinfectant etc. that’s been our normal routine. I honestly don’t know why you would get on a filthy plane with recycled air without any sort of respiratory protection, yuck.","0"
"An aviation expert on tv this morning was detailing how air in a plane is 50/50 fresh/recycled and is pumped through hepa air filters which destroy 99% of contaminents and bacterial agents and is only in a cabin for 2 min before replaced again so in actual fact the air in a plane is very clean, I googled it and appears that is quite true.","0"
"Someone that coughs or sneezes in Seat 45B can project airborne particles many many rows in front...before it gets to the HEPA filter. Also when passing through airports you share the same air as people from many unknown origins, and also make contact with taps, handles, counters etc, as same people. This is why getting to the destination can be more dangerous than the destination.","1"
"Add to that paying with credit or debit cards and using ATM machines....it all increases the risk.","0"
"Just quoting what I think Dianne, not having a go. I have kept out of most of these discussions, cos my opinion doesn't matter. Doesn't matter if a destination is Covid19 free, getting there is not......and cash SurfingWild","1"
"Point taken Greg I get what you're saying but I do think the whole thing is becoming a bit hysterical, the constant media dramatic coverage is just causing for the majority of people unnessary panic.","1"
"The era of internet is so open for everything, back in time when the world attack by others virus, that moment still less internet user , such as social media etc ... less drama etc Cheers","0"
"That's exactly right, we're just saturated with doom and gloom 24/7 whereas in days gone by with anything like this you got a half hour of the gloom on the 6 o'clock nightly news and an article in the daily paper.","0"
"This virus was kind of non-existent about 10 weeks ago, it is now in 115 of 195 countries, (105 yesterday) that is WITH containment policies. This is big, and only in its infancy.The good news is, that if you had to have a virus/pandemic, this is a good one to have compared to most others. It's not like it's Man Flu!","1"
"Yesterday i went to night safari very surprised to see its still pretty crowded (around 100 pax, 90% of them international tourist ,mostly australian i think no one was using mask, just i can see many put hand sanitizers on their table when having dinner so from what i see , tourism in bali is still on till today .. although news says its down by 50 percent compared to normal days.","1"
"BTW , covid 19 first death was just recorded in indonesia (in bali) 53yrs woman from england.. news said she already had diabetes and longtime lung diseases beforehand","1"
"Qures, was the lady a tourist or an expat? Which area? Thank you in advance.","1"
"I read today there were two foreigners included in yesterdays new cases. I'm assuming the unfortunate lady was one of them. I also noted that in the report Achmad had refused to disclose the location of the cases. I find this a little unsettling.","1"
"I read the same, Sarah. If authorities refuse to disclose this location, it will hardly be reassuring - particularly given they’ve previously identified other locations such as Batam and Depok.","1"
"Apparently she is British, 53, and died in Bali.","0"
"Apparently several of the people infected with the virus have asked the government not to publicize their names, where they live etc as it created so many problems for the first confirmed in Depok. In western countries it might not be a problem, but here in Indonesia giving out too much information can be dangerous to those people with the virus as others might take matters into their own hands.","0"
"Extremely sad for the womans family, and scary that infected people fear retribution. I don't necessarily think that this fear is isolated to Indonesia however.","0"
"And please refrain from posting about the womans travel history and whether she was infected in Indonesia. It is irrelevant. The fact is she was infected, and there is a chance she infected others on her travels, be it in Indoensia or any other country.","1"
"Is this the same Health Minister Achmad who said that only by the hand of his Allah has Indonesia not had any positive infections?","1"
"Achmad leads the Ministry of Health's Directorate General of Disease Control. The prayerful Minister is Terawan Agus Putranto.","1"
"I couldn't agree with you more about wanting to know the location of the confirmed cases. Here in Bandung we suspect that there are probably many cases and it's just frustrating that we do not know for sure.","1"
"A 53 year old tourist has died today in Bali from the virus","1"
"She and her family were staying at the four seasons hotel","1"
"the woman is 53 yo, quarantine at sanglah hospital since 9 march 2020 and 2 days later pass away.until nowadays there are no result of the test which must do in jakarta. the patient get severe chronic disesases, diabetes, hypertension, hyperthyroid, and chronic lung obstruction. there are possibility the patient get positIve covid-19 and it will worsen the severe chronic diseases.","1"
"No one has an immunity to this virus and yes, it will have its greatest impact on the elderly and/or those with existing health issues, but it will also be the very young who also will have little ability to fight this, so we need to consider all those who will be most affected during this health crisis. It is not like a regular influenza season, this is something entirely new.. Very little is still known about how it might change, how long it will remain and when we might see some immunisation protection available. We all need to take care and I dearly hope we see some good news soon in regard to this virus's spread.","0"
"I’m reading that Jakarta confirmed that the patient was Cov19 positive to the local hospital. Cheers","1"
"Sadly have cancelled our May trip for my mother’s 80th birthday It’s too much of a risk at her age and I have asthma Only postponement as love Bali Let’s just hope a vaccine is soon found and that this global virus ends It’s a very individual decision and am disappointed but can’t take the health risk nor pay for medical bills in Bali if became ill My advice make your own decisions and don’t expect TA to give you the advice","1"
"yes, it make me confuse, maybe they make the second test, because maybe there are positive false, it is common for the test, however the accuracy is high. when indonesia evacuate 89 persons indonesian crew of diamond pricess cruise ship from japan, all have been tested use pcr and all has negative result. evacuation use airplane and landing at kertajati airport near midnight, when all passengers and most airport employees have stayed in their houses. use buses to go to indramayu electric port and then use navy hospital ship to sebaru kecil for quarantine. the trip need only for hours, but the ship disembark after several days and only for 68 persons. one persons has gone and after several days later found in perhabatan hospital for quarantine, he got positive covid-19. there are great possibility he is in incubation period when he is evacuated. so, for release someone from quarantine need 2 negative pcr to avoid negative false. negative false is more dangerous than positive false.","1"
"Hi. Did you go? We are going on the 21st. How are the kids? I’m curious to know what experience you are having.Thank you","1"
"who has stated covid-19 as global pandemic.","1"
"This is extremely concerning!! 'A 53-year-old foreign woman holidaying in Bali became Indonesia's first COVID-19 fatality on Wednesday, but local authorities were only informed after her death that she had tested positive for the disease. 'Hear no evil, see no evil. And people are willing to put their life in the hands of the Indonesian authorities who keep dangerous secrets from each other??","0"
"A very reasonable observation, FP. It’s also concerning that CV tests have to be sent to Jakarta for results confirmation. It would be interesting to know if this is the case for all of Indonesia?","0"
"Well said Sue C, your always very level headed and pretty spot on with your advice. Karen D. Yes I think your decision not to go ATM is very sensible , I too have deferred my trip in 2 weeks and will now go at Xmas ,that is if its all good by then. Take care everyone and if you choose to go please be very careful with hygiene, I personally think it is only a short time away before Airlines stop flying there.","1"
